Identificador de Guión;Título del guión;Título del recurso;Título de PDF asociado;Estado;Usuario que lo tiene;Nivel;Curso;Asignatura;Disciplina Nivel;Disciplina Curso;Disciplina Asignatura;Nivel Educativo;Ciclo Educativo;Curso Educativo;Matrícula media;Autonómico;Tamaño;Palabras clave;Tiempo;Acción didáctica;Competencia;Competencias1;Subcompetencia1;Descriptor;Tipo media;Html5;Nivel del ejercicio;Es relacionado;LOID;Fecha del bloqueo;RES;VEditorial;Versión
MA_08_02_CO;Expresiones y operaciones algebraicas;Recurso F8-01;;Bloqueado;asantos;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;426019;;0;;;;;;;F8;;No;MA_08_02_CO_Recurso010;20/08/2015;RES-51C2185A682A40A382F2AD95B9EC55E3;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Conceptos claves de las expresiones algebraicas.;;Desbloqueado;;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;823031;Álgebra,Expresiones algebraicas,Definiciones;10;Estudio;Competencia matemática;2;2_2;2_2_6;Actividad;M1b;Fácil;No;MA_08_02_CO_Recurso020;;RES-D40F6957DDD340D08F6B7D0A3854743B;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Recurso M5A-01;;Desbloqueado;;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;759049;;0;;;;;;;M5a;Fácil;No;MA_08_02_CO_Recurso030;;RES-811E6A4F59AF4C4ABFB5DC5187432A42;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Repasa los conceptos básicos de los polinomios;;Desbloqueado;;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;763043;binomio,coeficiente,exponente,expresión algebraica,monomio,parte literal,polinomio,producto,resta,semejante,suma,variable;15;Ejercitación;Competencia matemática;2;2_1;2_1_1;Actividad;M2a;Fácil;No;MA_08_02_CO_Recurso040;;RES-1E6946FFC56E4EAC980D3A53914C37B7;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Clasificación de las expresiones algebraicas.;;Bloqueado;jmalagon;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;765824;Monomio,binomio,polinomio,expresiones algebraicas.;15;Ejercitación;Competencia matemática;2;2_2;2_2_1;Actividad;M10a;Fácil;No;MA_08_02_CO_Recurso050;20/08/2015;RES-9C32252C98B74F2586BBAEF201FD84F6;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Características de los polinomios.;;Bloqueado;jmalagon;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;762816;Polinomio,polinomio compleo, polinomio opuesto,Grado relativo,grado absoluto.;15;Ejercitación;Competencia matemática;2;2_1;2_1_1;Actividad;M2a;Fácil;No;MA_08_02_CO_Recurso060;20/08/2015;RES-A6F648834F7F4EC5A4B7ACBA42C6BEBB;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Calcula el valor numérico de una expresión algebraica;;Desbloqueado;;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;762408;cálculo,expresión algebraica,valor numérico;15;Ejercitación;;;;;Actividad;M4a;Medio;No;MA_08_02_CO_Recurso070;;RES-40F761E2837443CCA10027E6F84C75B3;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;¿Qué sabes de las expresiones algebraicas?;;Desbloqueado;;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;921349;ecuación,ecuación de primer grado,ecuación equivalente,lenguaje algebraico,monomio;20;Exposición;;;;;Secuencia de imágenes;F4;;No;MA_08_02_CO_Recurso080;;RES-FDF0CAC5AE2D41B78DAE0615514AF57F;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;Refuerza tu aprendizaje: Las expresiones algebraicas;;Bloqueado;jmalagon;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;1358501;Expresiones algebraicas,polinomio,monomio,valor numérico,grado,variable,polinomio opuesto.;35;Estudio;Competencia matemática;2;2_3;2_3_3;Actividad;M101a;Fácil;No;MA_08_02_CO_Recurso090;20/08/2015;RES-AEC8A79EE3F24F069248C84F718BF6FD;10;29
MA_08_02_CO;Expresiones y operaciones algebraicas;La adición y sustracción de polinomios.;;Bloqueado;jmalagon;Educación Básica Secundaria;8;Matemáticas;Educación Secundaria Obligatoria;Primer curso;Destrezas Básicas de Matemáticas;Educación Secundaria Obligatoria;Primer curso;;;No;760408;Polinomios,adición,sustracción;20;Ejercitación;Competencia matemática;2;2_3;2_3_2;Actividad;M1c;Fácil;No;MA_08_02_CO_Recurso100;20/08/2015;RES-A52D7DBA5BB845B3845332A3C1067B58;10;29
